Name,Interests,Department
Abby Dernburg,genomics~chromosome remodeling and reorganization during meiosis~Down syndrome~DNA,Department of Molecular &amp; Cell Biology
Adolf D. May,operations~control systems~simulation modeling~detector systems~capacity Analysis~HOV Systems,Department of Civil and Environmental Engineering
Ahmad Bahai,wireless sensor networks~statistical signal processing in wireless communications~algorithm specific VLSI design~adaptive algorithms and processor design~OFDM techniques for 4G communications systems,Division of Electrical Engineering/EECS
Alan H. Schoenfeld,thinking~teaching~learning~productive learning environments~mathematics education~modeling the process of teaching~understanding how and why teachers do what they do,Graduate School of Education
Alan Jay Smith,computer architecture &amp; engineering~operating systems; computer system,Division of Computer Science/EECS
Alexei Efros,computer vision~computer graphics~computational photography,Division of Computer Science/EECS
Alexey Pozdnukhov,machine learning~spatial data mining~smart cities,College of Engineering
Ali M. Niknejad,analog integrated circuits~RF microwave circuits~device modeling~communication systems~scientific computing~applied electromagnetics~mm-waves~THz~radar~mm-wave and microwave imaging,Division of Electrical Engineering/EECS
Alice M. Agogino,New product development~computer-aided design &amp; databases~theory &amp; methods~intelligent learning systems~information retrieval &amp; data mining~digital libraries~multiobjective &amp; strategic product~nonlinear optimization~probabilistic modeling~supervisory,Department of Mechanical Engineering~Haas School of Business
Alistair Sinclair,algorithms~applied probability~statistics~random walks~Markov chains~computational applications of randomness~Markov chain Monte Carlo~statistical physics~combinatorial optimization,Department of Statistics~Division of Electrical Engineering/EECS
Allan Smith,public health~epidemiology~biostatistics~environmental health sciences,School of Public Health
Alper Atamturk,logistics~integer programming~computational optimization~robust optimization,Department of Industrial Engineering &amp; Operations Research
Alva Noe,cognitive science~phenomenology~consciousness~philosophy~theory of perception~theory of art~Wittgenstein~analytic philosophy origins,Department of Philosophy
Amy Herr,microfluidics~bioanalytical separations~diagnostics~electrokinetic transport~engineering design,Department of Bioengineering
Andrea A. diSessa,education~cognition~conceptual development~science education~design of technology for education~computational literacies,Graduate School of Education
Andreas Kuehlmann,computer-aided design for VLSI,Division of Electrical Engineering/EECS
Anthony D. Joseph,internet security~mobile/distributed computing~and wireless communications~networking and telephony,Division of Computer Science/EECS
Aram Thomasian,statistics~electrical engineering~computer science random potential surfaces~multiple electorde,Department of Statistics~Division of Electrical Engineering/EECS
Arthur Reingold,public health~epidemiology~infectious diseases~biostatistics,School of Public Health
Arthur Rosenfeld,physics~electronic ballasts for fluorescent lamps~compact fluorescent lamps~low-emissivity~selective windows~DoE-2 computer program for the energy design of buildings~building technologies~energy analysis~indoor environment~building ventilation,Department of Physics
Avideh Zakhor,signal~image~and video processing~computer vision~augmented and virtual reality~visualization~rendering~indoor mapping &amp; positioning~3D modeling~multimedia databases,Division of Electrical Engineering/EECS
Barbara Y. White,science education~cognitive development~computer-mediated learning,Graduate School of Education
Benson H. Tongue,nonlinear dynamics~acoustics~vibrations~modal analysis~numerical modeling,Department of Mechanical Engineering
Bernard R. Gifford,educational equity~education~assessment and educational measurement~computer-mediated learning~curriculum development~development of professional learning communities~experimental design in education,Graduate School of Education
Bernd Sturmfels,mathematics~combinatorics~computational algebraic geometry,Department of Mathematics~Department of Statistics~Division of Computer Science/EECS
Bin Yu,neuroscience~remote sensing~networks~statistical machine learning~high-dimensional inference~massive data problems~document summarization.,Department of Statistics
Bjoern Hartmann,human-computer interaction~user interfaces~end-user programming~design tools~prototyping~crowdsourcing~multitouch~sensing,Division of Computer Science/EECS
Brenda Eskenazi,public health~epidemiology~biostatistics~maternal &amp; child health,School of Public Health
