Name,Interests,Department
A. James Gregor,political science~methodology~political theory~comparative ideology~U.S. security interests~comparative fascism~Marxism and Fascism in the 20th century,Department of Political Science
A. Paul Alivisatos,physical chemistry~semiconductor nanocrystals~nanoscience~nanotechnology~artificial photosynthesis~solar energy~renewable energy~sustainable energy,Department of Chemistry
AMANDA TYLER,federal courts~separation of powers~habeas corpus~statutory interpretation~civil procedure~the emergency Constitution,Boalt Hall School of Law
Aaron Fisher,Anxiety~depression~personalized medicine~psychotherapy~psychophysiology,Department of Psychology
Aaron S. Edlin,economics~industrial organization~regulation~antitrust,Department of Economics
Abby Dernburg,genomics~chromosome remodeling and reorganization during meiosis~Down syndrome~DNA,Department of Molecular &amp; Cell Biology
Abdul JanMohamed,Critical theory; theory of subjection; postcolonial literature~culture~and theory; African American fiction; and minority discourse.,Department of English
Abena Osseo-Asare,African history~legal history~medical history~science history,Department of History
Abhishek Kaicker,South Asia~Mughal~early modern~cities~history~Persian,Department of History
Abigail De Kosnik,new media~performance studies~performance theory~performance~media studies~fan studies~digital culture~social networks~film~television~social media~Internet culture~digital humanities,"Theatre, Dance, and Performance Studies"
Abolhassan Astaneh,structural engineering~bridges~buildings~eathquake engineering~collapse of structures~Steel structures~welds~bolts~protection of buildings and bridges against terrorist attacks~self anchored suspension Bay Bridge~fatigue and fracture of structures~failure analysis~gusset plates~base plates~seismic design~ethics in engineering~registered professional engineer~long span bridges~skyscrapers~World Trade Center collapse studies,Department of Civil and Environmental Engineering
Adam Arkin,Systems and Synthetic Biology~Environmental Microbiology of Bacteria and Viruses~bioenergy~Biomedicine~Bioremediation,Department of Bioengineering
Adib Kanafani,transportation economics~transportation planning~transportation systems analysis~aviation policy and planning~urban and regional planning~air transportation,Department of Civil and Environmental Engineering
Adina M. Merenlender,conservation biology~water resources~land use change~landscape ecology~ecological restoration,"Environmental Science, Policy &amp; Management"
Adolf D. May,operations~control systems~simulation modeling~detector systems~capacity Analysis~HOV Systems,Department of Civil and Environmental Engineering
Adrian Aguilera,culture and SES and mental health~mental health services research in low-income populations~Latino &amp; minority mental health~health disparities~cognitive-behavioral therapy for depression~mobile technology (mHealth) and mental health~digital health,School of Social Welfare
Adrian Lee,physics,Department of Physics
Ahmad Bahai,wireless sensor networks~statistical signal processing in wireless communications~algorithm specific VLSI design~adaptive algorithms and processor design~OFDM techniques for 4G communications systems,Division of Electrical Engineering/EECS
Ahmet Yildiz,single molecule biophysics~molecular motors~telomeres,College of Letters and Science
Aihwa Ong,cultural anthropology~anthropology~transnationalism~citizenship~global cities~migration~Southeast Asia~urbanism,Department of Anthropology
Aila Matanock,post-conflict elections~peace-building~international intervention~state-building~governance~armed actors~Latin America~survey experiments~mixed methods,Department of Political Science
Alaa Mansour,structural reliability~safety~probabilistic dynamics of marine structures~strength of ship~offshore structures~development of design criteria.,Department of Mechanical Engineering
Alain De Janvry,economics~labor management and policy,Department of Agricultural &amp; Resource Economics
Alan Cerf,financial accounting~financial reporting and management,Haas School of Business
Alan D. Weinstein,mathematics~mathematical physics~symplectic geometry,Department of Mathematics
Alan H. Nelson,English~history of drama~medieval and Renaissance English literature~English Corpus Christi plays~English morality plays~medieval art and literature~history of staging in the middle ages and renaissance~medieval and early Renaissance paleography,Department of English
Alan H. Schoenfeld,thinking~teaching~learning~productive learning environments~mathematics education~modeling the process of teaching~understanding how and why teachers do what they do,Graduate School of Education
Alan J. Auerbach,economics~law~tax policy~public finance,Department of Economics
Alan Jay Smith,computer architecture &amp; engineering~operating systems; computer system,Division of Computer Science/EECS
Alan Steinbach,public health,School of Public Health
Alan Tansman,Modern Japanese Literature~literary and cultural theory~aesthetics and politics~Comparative Responses to Violence~literary history,Department of East Asian Languages and Cultures
Alan Timberlake,Slavic languages and literatures~descriptive grammar of Russian~chronicles,Department of Slavic Languages and Literatures
Alastair N Lawrence,Financial Disclosure,Haas School of Business
